Lattitude,Longitude,Season.planted,Grain.As,Grain.P,Grain.S,Grain.Mn,Grain.Fe,Grain.Cu,Straw.As,Straw.Al,Straw.P,Straw.S,Straw.Mn,Straw.Fe,Soil.As,Soil.Al,Soil.P,Soil.S,Soil.Mn,Soil.Fe,Soil.pH,Soil.SOM,Soil.Clay,Humidity,Potential.Evaporation,Rainfall,Temperature,CO2_average
10.1057,105.8947,0,0.523334184,2984.341641,1092.869532,22.78213736,28.89644778,2.074383261,0.61687165,627.6159227,1151.179218,1612.474281,801.5426332,401.2548883,7.3,81179.1,391.19,1161.03,78.64,16406.14,3.9,15.34,33.64990503,85.54206,0.0040075,0.003,25.6435025,418.945
10.0717,105.928,0,0.312484886,3127.027761,1131.268467,19.84263708,1.784860955,2.024728518,0.707296381,249.2731745,1136.949392,1376.276784,797.1978318,217.9191226,6.88,68222.09,360.94,1664.97,82.88,14667.5,4.68,15.34,26.08956417,85.54206,0.0040075,0.003,25.6435025,418.945
10.0734,105.9922,0,0.058160119,3195.274467,991.132283,17.98474063,41.95187701,1.626613658,0.526424303,203.7038107,1256.785962,1162.890087,263.3975947,271.4153083,7.12,72432.18,404.92,803.94,84.62,16450.3,4.18,11.05,30.68772491,86.133535,0.0049925,0.003,25.6161575,418.945
10.1424,106.0217,0,0.037007934,2682.304757,855.0242085,16.67883967,1.100623381,1.760308729,0.489381559,382.9008474,2626.53075,2375.451115,864.4735307,356.1178648,8.27,76601.59,518.17,2331.02,85.6,14891.57,4.79,17.68,37.19256149,86.133535,0.0049925,0.003,25.6161575,418.945
10.0753,106.1705,0,0.170522262,2963.072168,810.6996175,15.98688192,3.180603555,0.975244897,4.031916194,533.9994484,1954.781134,738.8889803,636.4666695,493.5231469,9.5,71947.21,623.66,458.27,184.04,29862.18,4.43,9.49,15.79526142,87.05292,0.005285,0.004,25.610285,418.945
10.1243,106.5648,0,0.196502885,2588.389913,632.192396,8.606427986,17.83525195,0.303527514,1.786458288,465.812192,1444.755938,1330.03052,269.0603536,1066.511115,12.08,85675.24,440.34,1134.11,94.54,23734.38,4.4,14.04,36.81790925,85.65213,0.00405,0.004,26.028245,418.945
10.1073,106.6354,0,0.347107475,2843.470092,729.6991743,14.54458278,19.0028453,2.213789438,4.734545314,298.4920989,1057.85664,904.3811744,333.9725508,469.5118569,16.33,78166.64,568.14,450.59,170.4,41955.08,4.04,23.01,38.97220556,85.65213,0.00405,0.004,26.028245,418.945
9.9736,106.2253,0,0.13044472,3107.492836,765.7288935,22.44807382,18.18325969,1.854547121,1.315600383,144.2540195,1581.636677,1129.608677,737.9694694,186.6995123,9.04,103245.76,553.6,872.69,91.08,23293.72,4.37,18.85,41.29522287,86.775035,0.00665,0.004,25.65272,418.945
9.9245,106.2263,0,0.203574441,2888.835717,611.5199106,15.75930114,8.832457925,1.020002539,1.626931769,291.9984687,2063.030581,915.7729984,323.7450402,301.0585395,9.49,69147.07,715.28,491.21,118.57,28188.76,4.01,6.24,45.79542046,86.4361225,0.0038925,0.004,25.6986975,418.945
9.6501,105.9848,0,0.087788734,2746.820325,642.2818758,13.29386811,12.35084127,1.340584291,2.311948655,346.3019263,1541.858,1139.412662,406.3313908,372.5312285,8.68,69096.43,709.49,322.21,133.75,28490.53,4.17,8.84,36.41814911,86.1651,0.0036275,0.004,25.6278075,418.945
9.6899,106.0144,0,0.105336423,3134.457848,917.5807678,18.50738136,7.279379458,1.879997365,2.225318868,234.6266718,2210.037191,1346.962833,682.4839735,255.5371226,11.47,86099.74,640.2,45.63,345.68,38663.14,4.19,7.02,44.43111378,86.1651,0.0036275,0.004,25.6278075,418.945
9.4234,105.5691,0,0.17564788,2768.804959,658.3704429,16.34302897,19.20104489,1.494862666,0.653838149,518.898777,1427.992275,1987.399624,471.1420985,361.9998425,7.56,79922.06,260.1,842.08,144.31,23940.82,4.11,9.75,39.93603838,83.885305,0.0040075,0.004,25.779315,418.945
9.549,105.5836,0,0.37184174,2994.263732,916.9363805,23.59772332,14.21358947,3.504595405,0.696796181,204.5958325,1868.875897,2213.538814,1190.142283,209.0043856,12.52,72616.12,786.57,617.42,295.84,37760.15,4.02,5.98,36.39272146,84.42326,0.0039025,0.004,25.64887,418.945
9.4431,105.4747,0,0.225183832,2755.486984,996.6499882,23.06598654,18.47466808,1.248474818,0.610450637,442.3704834,1887.629104,2833.886542,1043.769385,400.1868514,7.56,76200.35,375.85,1916.03,154.71,19314.78,3.41,12.74,41.77493504,84.0862475,0.0039775,0.004,25.7378925,418.945
9.1471,105.0636,0,0.181747948,3358.696206,1309.205355,19.26885263,19.64526978,3.385981736,0.579232204,419.4722814,2895.66369,2605.20557,1139.425696,568.1761921,5.71,73377.18,246.81,1076.57,170.46,21081.61,3.62,11.83,39.32853717,84.4095275,0.00431,0.006,25.8308625,418.945
9.1118,105.0212,0,0.41400013,3037.514597,1053.181283,16.48228889,13.99572459,1.35788049,1.187259248,232.1610722,1655.966527,1352.973342,583.254927,289.1631721,3.32,33388.37,181.35,56.74,202.19,23253.51,4.0,8.45,41.69498301,84.924115,0.0042525,0.006,25.8066575,418.945
9.0821,104.9854,0,0.261244297,3505.185085,1273.3889,25.46610368,15.58184071,3.860768513,0.494911481,644.5620714,1512.258896,1717.092848,885.3516157,292.8091525,5.38,80187.91,285.51,1106.23,271.06,23967.31,4.44,12.09,43.62945938,84.924115,0.0042525,0.006,25.8066575,418.945
9.0703,104.9328,0,0.130383704,3065.299272,1052.216762,25.25848789,7.256942994,2.093167582,1.1143756,1782.05889,2005.296747,1919.270851,1200.965689,903.4465477,11.87,75800.49,402.09,1459.05,450.64,35663.31,4.11,8.06,36.78896331,83.7211825,0.0042525,0.005755,25.8066575,418.945
9.3125,104.9269,0,0.13920944,3717.064325,1060.614841,19.58729206,13.7445098,0.358665202,0.809942842,1031.230421,2245.201928,1005.909958,633.0216652,803.7417607,10.92,53361.42,337.7,5575.07,489.41,37645.38,4.93,9.62,23.39298211,83.980555,0.0042475,0.00555,25.743565,418.945
9.3135,104.8852,0,0.132970309,2724.767789,825.3812873,10.93740564,2.299998655,0.33100849,0.917637589,297.4048662,669.9572402,1739.260301,889.6558716,442.9795659,10.38,72664.25,259.91,1932.3,264.32,28670.65,4.28,12.35,36.38544582,83.980555,0.0042475,0.00555,25.743565,418.945
9.868,105.2149,0,0.205798315,2735.194957,933.5494112,10.93051739,4.286745889,1.500788852,1.877207316,651.23353,1826.125038,2108.097937,318.7028418,800.2906755,8.24,64400.79,279.62,1756.59,69.92,16679.04,3.29,17.68,31.1306608,83.36735,0.0042775,0.004,25.78954,418.945
9.817,105.2382,0,0.19594931,2835.998466,950.6657025,12.22346445,349.6822986,1.663162835,0.572719316,987.2806944,1680.180631,1907.822885,360.8480175,830.9884797,7.1,76013.78,271.07,568.43,87.77,25927.82,3.32,12.22,40.09193565,84.246555,0.004005,0.004,25.69809,418.945
9.7449,105.3601,0,0.167801777,2849.948765,962.3772192,10.10171171,14.08247575,1.188775072,0.484944215,870.87755,1866.713424,1565.515177,280.2131166,551.9236165,7.82,71735.41,218.74,693.68,91.16,26299.63,4.0,10.14,49.59008198,84.854175,0.0040225,0.004,25.563395,418.945
9.7899,105.5077,0,0.068064191,2730.865744,985.5336478,19.57557269,0.427710075,1.525501118,0.447960172,613.198391,1877.522097,1554.006787,1099.421071,680.239581,8.76,74854.38,469.78,2134.16,231.96,20461.49,3.23,22.49,32.5934813,84.362685,0.00394,0.004,25.5751425,418.945
9.8812,105.6002,0,0.226459893,2976.083424,1009.757544,20.3659922,5.938759672,1.623259605,0.341006354,461.9249947,1364.778827,1937.013022,991.9735125,421.1564022,7.92,94267.73,277.04,2213.79,299.19,22923.87,3.49,13.65,63.8,84.2400975,0.00393,0.004,25.610385,418.945
10.4899,106.1253,0,0.102754228,3356.290629,986.8628272,20.66549883,148.9690657,2.803664317,0.210848473,176.6511899,853.6969612,1788.165598,640.1355977,234.6729571,9.51,94194.96,328.18,5123.27,217.8,43351.81,3.37,12.22,62.17512995,84.29429,0.0045825,0.004,25.71237,418.945
