Sample.ID,Lat,Long,Cropping.Season,Region,CO2,Humidity,PEV,Rainfall,Temp,Grain.As,Grain.Se,Grain.P,Grain.S,Grain.Mn,Grain.Fe,Grain.Cu,Straw.As,Straw.Se,Straw.Al,Straw.P,Straw.S,Straw.Mn,Straw.Fe,Straw.Cu,Soil.As,Soil.Se,Soil.Al,Soil.P,Soil.S,Soil.Mn,Soil.Fe,Soil.Cu,Soil.pH,Soil.Clay,SOM
23VINIF_1_#1,10.105651,105.894707,Winter season,South,418.945,83.14692891,6.311757255,4.598695314,27.20639121,0.523334184,0.04929995,2984.341641,1092.869532,22.78213736,28.89644778,2.074383261,0.61687165,,627.6159227,1151.179218,1612.474281,801.5426332,401.2548883,3.335811463,7.3,4.47,81179.1,391.19,1161.03,78.64,16406.14,14.85,3.9,33.64990503,15.34
23VINIF_2_#1,10.071678,105.927982,Winter season,South,418.945,83.31516631,6.0521655,4.608869553,27.20406756,0.312484886,0.031354373,3127.027761,1131.268467,19.84263708,1.784860955,2.024728518,0.707296381,,249.2731745,1136.949392,1376.276784,797.1978318,217.9191226,2.011690228,6.88,5.89,68222.09,360.94,1664.97,82.88,14667.5,18.60,4.68,26.08956417,15.34
23VINIF_3_#1,10.073358,105.992213,Winter season,South,418.945,83.31516631,6.0521655,4.608869553,27.20406756,0.058160119,,3195.274467,991.132283,17.98474063,41.95187701,1.626613658,0.526424303,0.039055291,203.7038107,1256.785962,1162.890087,263.3975947,271.4153083,2.109542076,7.12,5.15,72432.18,404.92,803.94,84.62,16450.3,20.02,4.18,30.68772491,11.05
23VINIF_4_#1,10.142449,106.021702,Winter season,South,418.945,83.14692891,6.311757255,4.598695314,27.20639121,0.037007934,,2682.304757,855.0242085,16.67883967,1.100623381,1.760308729,0.489381559,0.098724854,382.9008474,2626.53075,2375.451115,864.4735307,356.1178648,3.858327303,8.27,5.98,76601.59,518.17,2331.02,85.6,14891.57,20.30,4.79,37.19256149,17.68
23VINIF_5_#1,10.075267,106.170488,Winter season,South,418.945,83.31516631,6.0521655,4.608869553,27.20406756,0.170522262,,2963.072168,810.6996175,15.98688192,3.180603555,0.975244897,4.031916194,0.077406308,533.9994484,1954.781134,738.8889803,636.4666695,493.5231469,1.946352067,9.5,5.18,71947.21,623.66,458.27,184.04,29862.18,18.31,4.43,15.79526142,9.49
23VINIF_6_#1,10.124319,106.564796,Winter season,South,418.945,83.14692891,6.311757255,4.598695314,27.20639121,0.196502885,,2588.389913,632.192396,8.606427986,17.83525195,0.303527514,1.786458288,0.017327179,465.812192,1444.755938,1330.03052,269.0603536,1066.511115,0.697500276,12.08,5.1,85675.24,440.34,1134.11,94.54,23734.38,17.37,4.4,36.81790925,14.04
23VINIF_7_#1,10.107323,106.635391,Winter season,South,418.945,83.14692891,6.311757255,4.598695314,27.20639121,0.347107475,,2843.470092,729.6991743,14.54458278,19.0028453,2.213789438,4.734545314,,298.4920989,1057.85664,904.3811744,333.9725508,469.5118569,8.137065417,16.33,4.95,78166.64,568.14,450.59,170.4,41955.08,18.36,4.04,38.97220556,23.01
23VINIF_8_#1,9.973552,106.225258,Winter season,South,418.945,83.20180274,5.571841313,4.674153484,27.21554848,0.13044472,,3107.492836,765.7288935,22.44807382,18.18325969,1.854547121,1.315600383,,144.2540195,1581.636677,1129.608677,737.9694694,186.6995123,1.825285714,9.04,4.5,103245.76,553.6,872.69,91.08,23293.72,22.79,4.37,41.29522287,18.85
23VINIF_9_#1,9.924547,106.22625,Winter season,South,418.945,83.20180274,5.571841313,4.674153484,27.21554848,0.203574441,,2888.835717,611.5199106,15.75930114,8.832457925,1.020002539,1.626931769,,291.9984687,2063.030581,915.7729984,323.7450402,301.0585395,1.180614173,9.49,5.37,69147.07,715.28,491.21,118.57,28188.76,18.86,4.01,45.79542046,6.24
23VINIF_10_#1,9.65005,105.984802,Winter season,South,418.945,83.40964399,5.975848838,5.20733623,27.1893186,0.087788734,,2746.820325,642.2818758,13.29386811,12.35084127,1.340584291,2.311948655,0.092215327,346.3019263,1541.858,1139.412662,406.3313908,372.5312285,5.598038564,8.68,4.91,69096.43,709.49,322.21,133.75,28490.53,18.56,4.17,36.41814911,8.84
23VINIF_11_#1,9.689919,106.014351,Winter season,South,418.945,83.40964399,5.975848838,5.20733623,27.1893186,0.105336423,,3134.457848,917.5807678,18.50738136,7.279379458,1.879997365,2.225318868,0.014763952,234.6266718,2210.037191,1346.962833,682.4839735,255.5371226,2.988157876,11.47,5.31,86099.74,640.2,45.63,345.68,38663.14,18.02,4.19,44.43111378,7.02
23VINIF_12_#1,9.42337,105.569122,Winter season,South,418.945,82.80226392,5.81177517,5.490499971,27.27898978,0.17564788,,2768.804959,658.3704429,16.34302897,19.20104489,1.494862666,0.653838149,0.014265614,518.898777,1427.992275,1987.399624,471.1420985,361.9998425,1.896856555,7.56,5.25,79922.06,260.1,842.08,144.31,23940.82,16.01,4.11,39.93603838,9.75
23VINIF_13_#1,9.54904,105.583595,Winter season,South,418.945,83.16450685,5.64868477,5.293425533,27.23660431,0.37184174,0.022524627,2994.263732,916.9363805,23.59772332,14.21358947,3.504595405,0.696796181,0.088255829,204.5958325,1868.875897,2213.538814,1190.142283,209.0043856,4.989516252,12.52,5.58,72616.12,786.57,617.42,295.84,37760.15,19.05,4.02,36.39272146,5.98
23VINIF_14_#1,9.443055,105.47467,Winter season,South,418.945,82.80226392,5.81177517,5.490499971,27.27898978,0.225183832,0.037904002,2755.486984,996.6499882,23.06598654,18.47466808,1.248474818,0.610450637,0.050070561,442.3704834,1887.629104,2833.886542,1043.769385,400.1868514,2.598510932,7.56,6.07,76200.35,375.85,1916.03,154.71,19314.78,16.82,3.41,41.77493504,12.74
23VINIF_15_#1,9.147098,105.063591,Winter season,South,418.945,82.80134603,5.928979504,5.815550255,27.35798097,0.181747948,0.039807692,3358.696206,1309.205355,19.26885263,19.64526978,3.385981736,0.579232204,0.086494817,419.4722814,2895.66369,2605.20557,1139.425696,568.1761921,3.835368997,5.71,4.65,73377.18,246.81,1076.57,170.46,21081.61,34.57,3.62,39.32853717,11.83
23VINIF_16_#1,9.111818,105.021156,Winter season,South,418.945,82.80134603,5.928979504,5.815550255,27.35798097,0.41400013,0.022347616,3037.514597,1053.181283,16.48228889,13.99572459,1.35788049,1.187259248,,232.1610722,1655.966527,1352.973342,583.254927,289.1631721,1.80947397,3.32,4.4,33388.37,181.35,56.74,202.19,23253.51,15.11,4,41.69498301,8.45
23VINIF_17_#1,9.082084,104.985374,Winter season,South,418.945,82.96862529,6.117598785,5.724652483,27.38413019,0.261244297,0.048531411,3505.185085,1273.3889,25.46610368,15.58184071,3.860768513,0.494911481,0.121165337,644.5620714,1512.258896,1717.092848,885.3516157,292.8091525,3.214511345,5.38,3.97,80187.91,285.51,1106.23,271.06,23967.31,15.91,4.44,43.62945938,12.09
23VINIF_18_#1,9.070286,104.932758,Winter season,South,418.945,82.96862529,6.117598785,5.724652483,27.38413019,0.130383704,0.022569319,3065.299272,1052.216762,25.25848789,7.256942994,2.093167582,1.1143756,0.229127178,1782.05889,2005.296747,1919.270851,1200.965689,903.4465477,2.394145104,11.87,5.32,75800.49,402.09,1459.05,450.64,35663.31,16.58,4.11,36.78896331,8.06
23VINIF_19_#1,9.312471,104.926918,Winter season,South,418.945,82.71484849,5.806602958,5.612326047,27.29437556,0.13920944,0.022532512,3717.064325,1060.614841,19.58729206,13.7445098,0.358665202,0.809942842,0.046707033,1031.230421,2245.201928,1005.909958,633.0216652,803.7417607,0.583607462,10.92,4.56,53361.42,337.7,5575.07,489.41,37645.38,13.43,4.93,23.39298211,9.62
23VINIF_20_#1,9.31353,104.885193,Winter season,South,418.945,82.71484849,5.806602958,5.612326047,27.29437556,0.132970309,0.022391608,2724.767789,825.3812873,10.93740564,2.299998655,0.33100849,0.917637589,0.046048306,297.4048662,669.9572402,1739.260301,889.6558716,442.9795659,0.471695824,10.38,4.68,72664.25,259.91,1932.3,264.32,28670.65,16.95,4.28,36.38544582,12.35
23VINIF_21_#1,9.36745,104.875175,Winter season,South,418.945,82.71484849,5.806602958,5.612326047,27.29437556,0.296740462,0.064568801,3205.919686,1000.076257,11.53623564,,1.527109768,1.380474864,0.081088229,367.3497262,1077.115272,1218.944538,507.0029538,468.3289027,1.221871098,13.47,4.8,81741.72,316.43,1272.04,195.71,31929.41,18.34,3.91,38.79612039,11.05
23VINIF_22_#1,9.868033,105.214867,Winter season,South,418.945,83.20687147,5.745484179,4.86265793,27.20656377,0.205798315,0.033253166,2735.194957,933.5494112,10.93051739,4.286745889,1.500788852,1.877207316,0.080178861,651.23353,1826.125038,2108.097937,318.7028418,800.2906755,1.723376981,8.24,5.69,64400.79,279.62,1756.59,69.92,16679.04,13.14,3.29,31.1306608,17.68
23VINIF_23_#1,9.816988,105.238228,Winter season,South,418.945,83.20687147,5.745484179,4.86265793,27.20656377,0.19594931,0.056301752,2835.998466,950.6657025,12.22346445,349.6822986,1.663162835,0.572719316,0.11483464,987.2806944,1680.180631,1907.822885,360.8480175,830.9884797,1.986533174,7.1,6.43,76013.78,271.07,568.43,87.77,25927.82,12.54,3.32,40.09193565,12.22
23VINIF_24_#1,9.773779,105.282669,Winter season,South,418.945,83.3407118,5.582537936,4.957264246,27.20391391,0.244985085,,3031.25683,950.9011151,10.81993504,,0.892245198,1.218424779,0.095974006,601.6656722,1839.713826,1278.682832,416.457132,574.6840943,1.350065423,7.7,5.21,72267.29,275.11,442.69,138.76,20516.69,13.57,3.77,37.53372639,12.22
23VINIF_25_#1,9.744897,105.360069,Winter season,South,418.945,83.3407118,5.582537936,4.957264246,27.20391391,0.167801777,0.026288904,2849.948765,962.3772192,10.10171171,14.08247575,1.188775072,0.484944215,0.110858791,870.87755,1866.713424,1565.515177,280.2131166,551.9236165,1.659699724,7.82,4.83,71735.41,218.74,693.68,91.16,26299.63,11.53,4,49.59008198,10.14
23VINIF_26_#1,9.738791,105.43058,Winter season,South,418.945,83.3407118,5.582537936,4.957264246,27.20391391,0.181558009,0.002917812,2912.105891,892.6148294,20.18509183,,1.279951794,1.492284079,0.093562804,568.7092549,1329.874183,1008.99009,851.1110109,367.2070282,1.099169923,7.34,7.27,78055.91,309.75,56.87,203.29,27591.42,14.15,4.11,41.45585441,6.89
23VINIF_27_#1,9.789856,105.507721,Winter season,South,418.945,83.3407118,5.582537936,4.957264246,27.20391391,0.068064191,,2730.865744,985.5336478,19.57557269,0.427710075,1.525501118,0.447960172,0.041929269,613.198391,1877.522097,1554.006787,1099.421071,680.239581,1.735012113,8.76,6.51,74854.38,469.78,2134.16,231.96,20461.49,15.60,3.23,32.5934813,22.49
