index,parent,child
1,CO2_average,Grain.P
2,CO2_average,Grain.S
3,CO2_average,Rainfall
4,CO2_average,Season.planted
5,CO2_average,Soil.As
6,CO2_average,Soil.P
7,CO2_average,Soil.S
8,CO2_average,Straw.Al
9,CO2_average,Straw.Fe
10,CO2_average,Straw.S
11,CO2_average,Temperature
12,Grain.Cu,Grain.Mn
13,Grain.Fe,Grain.As
14,Grain.P,Grain.S
15,Grain.S,Grain.Mn
16,Humidity,Season.planted
17,Humidity,Soil.pH
18,Humidity,Temperature
19,Lattitude,Grain.Mn
20,Lattitude,Humidity
21,Lattitude,Rainfall
22,Lattitude,Soil.Clay
23,Lattitude,Soil.P
24,Lattitude,Soil.SOM
25,Lattitude,Soil.pH
26,Lattitude,Temperature
27,Potential.Evaporation,Humidity
28,Potential.Evaporation,Season.planted
29,Potential.Evaporation,Temperature
30,Rainfall,Soil.SOM
31,Rainfall,Temperature
32,Season.planted,Grain.As
33,Season.planted,Soil.Mn
34,Season.planted,Straw.Fe
35,Soil.Al,Soil.Clay
36,Soil.Al,Soil.SOM
37,Soil.Al,Straw.Mn
38,Soil.As,Soil.Al
39,Soil.As,Soil.Fe
40,Soil.As,Soil.P
41,Soil.As,Straw.As
42,Soil.Fe,Soil.Al
43,Soil.Fe,Soil.Mn
44,Soil.Fe,Soil.P
45,Soil.Mn,Grain.Mn
46,Soil.Mn,Soil.pH
47,Soil.Mn,Straw.Mn
48,Soil.P,Grain.Cu
49,Soil.P,Straw.P
50,Soil.S,Grain.P
51,Soil.S,Soil.Al
52,Soil.SOM,Soil.S
53,Soil.SOM,Soil.pH
54,Soil.pH,Straw.Al
55,Soil.pH,Straw.As
56,Straw.As,Grain.As
57,Straw.As,Straw.Fe
58,Straw.As,Straw.Mn
59,Straw.Fe,Straw.Al
60,Straw.Fe,Straw.S
61,Straw.Mn,Grain.Cu
62,Straw.Mn,Grain.Mn
63,Straw.P,Grain.P
64,Straw.P,Straw.Fe
65,Straw.P,Straw.S
66,Straw.S,Grain.As
67,Straw.S,Grain.S
68,Straw.S,Straw.Mn
69,Temperature,Season.planted
70,Temperature,Soil.Fe
