parent,child
CO2_average,Grain.P
CO2_average,Grain.S
CO2_average,Rainfall
CO2_average,Season.planted
CO2_average,Soil.As
CO2_average,Soil.P
CO2_average,Soil.S
CO2_average,Straw.Al
CO2_average,Straw.Fe
CO2_average,Straw.S
CO2_average,Temperature
Grain.Cu,Grain.Mn
Grain.Fe,Grain.As
Grain.P,Grain.S
Grain.S,Grain.Mn
Humidity,Season.planted
Humidity,Soil.pH
Humidity,Temperature
Lattitude,Grain.Mn
Lattitude,Humidity
Lattitude,Rainfall
Lattitude,Soil.Clay
Lattitude,Soil.P
Lattitude,Soil.SOM
Lattitude,Soil.pH
Lattitude,Temperature
Potential.Evaporation,Humidity
Potential.Evaporation,Season.planted
Potential.Evaporation,Temperature
Rainfall,Soil.SOM
Rainfall,Temperature
Season.planted,Grain.As
Season.planted,Soil.Mn
Season.planted,Straw.Fe
Soil.Al,Soil.Clay
Soil.Al,Soil.SOM
Soil.Al,Straw.Mn
Soil.As,Soil.Al
Soil.As,Soil.Fe
Soil.As,Soil.P
Soil.As,Straw.As
Soil.Fe,Soil.Al
Soil.Fe,Soil.Mn
Soil.Fe,Soil.P
Soil.Mn,Grain.Mn
Soil.Mn,Soil.pH
Soil.Mn,Straw.Mn
Soil.P,Grain.Cu
Soil.P,Straw.P
Soil.S,Grain.P
Soil.S,Soil.Al
Soil.SOM,Soil.S
Soil.SOM,Soil.pH
Soil.pH,Straw.Al
Soil.pH,Straw.As
Straw.As,Grain.As
Straw.As,Straw.Fe
Straw.As,Straw.Mn
Straw.Fe,Straw.Al
Straw.Fe,Straw.S
Straw.Mn,Grain.Cu
Straw.Mn,Grain.Mn
Straw.P,Grain.P
Straw.P,Straw.Fe
Straw.P,Straw.S
Straw.S,Grain.As
Straw.S,Grain.S
Straw.S,Straw.Mn
Temperature,Season.planted
Temperature,Soil.Fe
