x,y,targets,working,block_set,p_value,true_edge
Lattitude,Grain.As,Soil.pH+Straw.As+,True,Longitude-Season.planted-Grain.P-Grain.S-Grain.Mn-Grain.Fe-Grain.Cu-Straw.Al-Straw.P-Straw.S-Straw.Mn-Straw.Fe-Soil.As-Soil.Al-Soil.P-Soil.S-Soil.Mn-Soil.Fe-Soil.SOM-Soil.Clay-Humidity-Potential.Evaporation-Rainfall-Temperature-CO2_average-,0.028731942471050893,True
Lattitude,Grain.As,Humidity+Soil.pH+Straw.As+,True,Longitude-Season.planted-Grain.P-Grain.S-Grain.Mn-Grain.Fe-Grain.Cu-Straw.Al-Straw.P-Straw.S-Straw.Mn-Straw.Fe-Soil.As-Soil.Al-Soil.P-Soil.S-Soil.Mn-Soil.Fe-Soil.SOM-Soil.Clay-Potential.Evaporation-Rainfall-Temperature-CO2_average-,0.01697477236485867,True
Lattitude,Grain.As,Rainfall+Soil.SOM+Soil.pH+Straw.As+,True,Longitude-Season.planted-Grain.P-Grain.S-Grain.Mn-Grain.Fe-Grain.Cu-Straw.Al-Straw.P-Straw.S-Straw.Mn-Straw.Fe-Soil.As-Soil.Al-Soil.P-Soil.S-Soil.Mn-Soil.Fe-Soil.Clay-Humidity-Potential.Evaporation-Temperature-CO2_average-,0.011844518276807955,True
Lattitude,Grain.As,Soil.SOM+Soil.pH+Straw.As+,True,Longitude-Season.planted-Grain.P-Grain.S-Grain.Mn-Grain.Fe-Grain.Cu-Straw.Al-Straw.P-Straw.S-Straw.Mn-Straw.Fe-Soil.As-Soil.Al-Soil.P-Soil.S-Soil.Mn-Soil.Fe-Soil.Clay-Humidity-Potential.Evaporation-Rainfall-Temperature-CO2_average-,0.029933756204261235,True
Lattitude,Grain.As,Temperature+Soil.Fe+Soil.Al+Soil.SOM+Soil.pH+Straw.As+,True,Longitude-Season.planted-Grain.P-Grain.S-Grain.Mn-Grain.Fe-Grain.Cu-Straw.Al-Straw.P-Straw.S-Straw.Mn-Straw.Fe-Soil.As-Soil.P-Soil.S-Soil.Mn-Soil.Clay-Humidity-Potential.Evaporation-Rainfall-CO2_average-,0.14104757936537873,False
Potential.Evaporation,Grain.As,Humidity+Soil.pH+Straw.As+,True,Lattitude-Longitude-Season.planted-Grain.P-Grain.S-Grain.Mn-Grain.Fe-Grain.Cu-Straw.Al-Straw.P-Straw.S-Straw.Mn-Straw.Fe-Soil.As-Soil.Al-Soil.P-Soil.S-Soil.Mn-Soil.Fe-Soil.SOM-Soil.Clay-Rainfall-Temperature-CO2_average-,0.21841507345600197,False
CO2_average,Grain.As,Rainfall+Soil.SOM+Soil.pH+Straw.As+,True,Lattitude-Longitude-Season.planted-Grain.P-Grain.S-Grain.Mn-Grain.Fe-Grain.Cu-Straw.Al-Straw.P-Straw.S-Straw.Mn-Straw.Fe-Soil.As-Soil.Al-Soil.P-Soil.S-Soil.Mn-Soil.Fe-Soil.Clay-Humidity-Potential.Evaporation-Temperature-,0.019315051554846807,True
CO2_average,Grain.As,Soil.As+Straw.As+,True,Lattitude-Longitude-Season.planted-Grain.P-Grain.S-Grain.Mn-Grain.Fe-Grain.Cu-Straw.Al-Straw.P-Straw.S-Straw.Mn-Straw.Fe-Soil.Al-Soil.P-Soil.S-Soil.Mn-Soil.Fe-Soil.pH-Soil.SOM-Soil.Clay-Humidity-Potential.Evaporation-Rainfall-Temperature-,0.0002261418199563936,True
CO2_average,Grain.As,Soil.S+Soil.Al+Soil.SOM+Soil.pH+Straw.As+,True,Lattitude-Longitude-Season.planted-Grain.P-Grain.S-Grain.Mn-Grain.Fe-Grain.Cu-Straw.Al-Straw.P-Straw.S-Straw.Mn-Straw.Fe-Soil.As-Soil.P-Soil.Mn-Soil.Fe-Soil.Clay-Humidity-Potential.Evaporation-Rainfall-Temperature-,0.153918971794655,False
Rainfall,Grain.As,Temperature+Soil.Fe+Soil.Al+Soil.SOM+Soil.pH+Straw.As+,True,Lattitude-Longitude-Season.planted-Grain.P-Grain.S-Grain.Mn-Grain.Fe-Grain.Cu-Straw.Al-Straw.P-Straw.S-Straw.Mn-Straw.Fe-Soil.As-Soil.P-Soil.S-Soil.Mn-Soil.Clay-Humidity-Potential.Evaporation-CO2_average-,0.30759947718691616,False
Soil.Fe,Grain.As,Soil.Mn+Soil.pH+Straw.As+,True,Lattitude-Longitude-Season.planted-Grain.P-Grain.S-Grain.Mn-Grain.Fe-Grain.Cu-Straw.Al-Straw.P-Straw.S-Straw.Mn-Straw.Fe-Soil.As-Soil.Al-Soil.P-Soil.S-Soil.SOM-Soil.Clay-Humidity-Potential.Evaporation-Rainfall-Temperature-CO2_average-,0.21553804632757756,False
