x,y,targets,working,block_set,p_value,true_edge
Lattitude,Grain.As,Soil.pH+Straw.As+,True,Longitude-Season.planted-Grain.P-Grain.S-Grain.Mn-Grain.Fe-Grain.Cu-Straw.Al-Straw.P-Straw.S-Straw.Mn-Straw.Fe-Soil.As-Soil.Al-Soil.P-Soil.S-Soil.Mn-Soil.Fe-Soil.SOM-Soil.Clay-Humidity-Potential.Evaporation-Rainfall-Temperature-CO2_average-,0.08559018834876195,False
Lattitude,Grain.As,Humidity+Soil.pH+Straw.As+,True,Longitude-Season.planted-Grain.P-Grain.S-Grain.Mn-Grain.Fe-Grain.Cu-Straw.Al-Straw.P-Straw.S-Straw.Mn-Straw.Fe-Soil.As-Soil.Al-Soil.P-Soil.S-Soil.Mn-Soil.Fe-Soil.SOM-Soil.Clay-Potential.Evaporation-Rainfall-Temperature-CO2_average-,0.018005868388075455,True
Lattitude,Grain.As,Rainfall+Soil.SOM+Soil.pH+Straw.As+,True,Longitude-Season.planted-Grain.P-Grain.S-Grain.Mn-Grain.Fe-Grain.Cu-Straw.Al-Straw.P-Straw.S-Straw.Mn-Straw.Fe-Soil.As-Soil.Al-Soil.P-Soil.S-Soil.Mn-Soil.Fe-Soil.Clay-Humidity-Potential.Evaporation-Temperature-CO2_average-,0.031897942991799405,True
Lattitude,Grain.As,Soil.SOM+Soil.pH+Straw.As+,True,Longitude-Season.planted-Grain.P-Grain.S-Grain.Mn-Grain.Fe-Grain.Cu-Straw.Al-Straw.P-Straw.S-Straw.Mn-Straw.Fe-Soil.As-Soil.Al-Soil.P-Soil.S-Soil.Mn-Soil.Fe-Soil.Clay-Humidity-Potential.Evaporation-Rainfall-Temperature-CO2_average-,0.040807718646869856,True
Lattitude,Grain.As,Temperature+Soil.Fe+Soil.Al+Soil.SOM+Soil.pH+Straw.As+,True,Longitude-Season.planted-Grain.P-Grain.S-Grain.Mn-Grain.Fe-Grain.Cu-Straw.Al-Straw.P-Straw.S-Straw.Mn-Straw.Fe-Soil.As-Soil.P-Soil.S-Soil.Mn-Soil.Clay-Humidity-Potential.Evaporation-Rainfall-CO2_average-,0.14104687321266057,False
Potential.Evaporation,Grain.As,Humidity+Soil.pH+Straw.As+,True,Lattitude-Longitude-Season.planted-Grain.P-Grain.S-Grain.Mn-Grain.Fe-Grain.Cu-Straw.Al-Straw.P-Straw.S-Straw.Mn-Straw.Fe-Soil.As-Soil.Al-Soil.P-Soil.S-Soil.Mn-Soil.Fe-Soil.SOM-Soil.Clay-Rainfall-Temperature-CO2_average-,0.20130536809028987,False
CO2_average,Grain.As,Rainfall+Soil.SOM+Soil.pH+Straw.As+,True,Lattitude-Longitude-Season.planted-Grain.P-Grain.S-Grain.Mn-Grain.Fe-Grain.Cu-Straw.Al-Straw.P-Straw.S-Straw.Mn-Straw.Fe-Soil.As-Soil.Al-Soil.P-Soil.S-Soil.Mn-Soil.Fe-Soil.Clay-Humidity-Potential.Evaporation-Temperature-,0.01228346156402512,True
CO2_average,Grain.As,Soil.As+Straw.As+,True,Lattitude-Longitude-Season.planted-Grain.P-Grain.S-Grain.Mn-Grain.Fe-Grain.Cu-Straw.Al-Straw.P-Straw.S-Straw.Mn-Straw.Fe-Soil.Al-Soil.P-Soil.S-Soil.Mn-Soil.Fe-Soil.pH-Soil.SOM-Soil.Clay-Humidity-Potential.Evaporation-Rainfall-Temperature-,0.1221902929071846,False
CO2_average,Grain.As,Soil.S+Soil.Al+Soil.SOM+Soil.pH+Straw.As+,True,Lattitude-Longitude-Season.planted-Grain.P-Grain.S-Grain.Mn-Grain.Fe-Grain.Cu-Straw.Al-Straw.P-Straw.S-Straw.Mn-Straw.Fe-Soil.As-Soil.P-Soil.Mn-Soil.Fe-Soil.Clay-Humidity-Potential.Evaporation-Rainfall-Temperature-,0.22070221398391085,False
