x,y,targets,working,block_set,p_value,true_edge
Lattitude,Grain.As,Soil.pH+Straw.As+,True,Season.planted-Straw.S-Temperature-,0.11715204921975175,False
Lattitude,Grain.As,Humidity+Soil.pH+Straw.As+,True,Season.planted-Straw.S-Temperature-,0.11715204921975175,False
Lattitude,Grain.As,Rainfall+Soil.SOM+Soil.pH+Straw.As+,True,Season.planted-Straw.S-Temperature-,0.11715204921975175,False
Lattitude,Grain.As,Soil.SOM+Soil.pH+Straw.As+,True,Season.planted-Straw.S-Temperature-,0.11715204921975175,False
Lattitude,Grain.As,Temperature+Soil.Fe+Soil.Al+Soil.SOM+Soil.pH+Straw.As+,True,Season.planted-Straw.S-,0.19876243333420343,False
Potential.Evaporation,Grain.As,Humidity+Soil.pH+Straw.As+,True,Season.planted-Straw.S-Temperature-,0.04520132245724547,True
CO2_average,Grain.As,Rainfall+Soil.SOM+Soil.pH+Straw.As+,True,Season.planted-Straw.S-Temperature-,0.008047540331954317,True
CO2_average,Grain.As,Soil.As+Straw.As+,True,Season.planted-Straw.S-Temperature-,0.008047540331954317,True
CO2_average,Grain.As,Soil.S+Soil.Al+Soil.SOM+Soil.pH+Straw.As+,True,Season.planted-Straw.S-Temperature-,0.008047540331954317,True
Rainfall,Grain.As,Temperature+Soil.Fe+Soil.Al+Soil.SOM+Soil.pH+Straw.As+,True,Season.planted-Straw.S-,1.3046270497844384e-05,True
Soil.Fe,Grain.As,Soil.Mn+Soil.pH+Straw.As+,True,Season.planted-Straw.S-Temperature-,0.14721440423159923,False
Soil.Fe,Grain.As,Soil.P+Straw.P+Straw.S+,True,Season.planted-Straw.As-Temperature-,0.052761616186647355,False
Lattitude,Grain.As,Soil.P+Straw.P+Straw.S+,True,Season.planted-Straw.As-Temperature-,0.00010137327958833116,True
CO2_average,Grain.As,Straw.Fe+Straw.S+,True,Season.planted-Straw.As-Temperature-,0.0032259742760109753,True
CO2_average,Grain.As,Straw.S+,True,Season.planted-Straw.As-Temperature-,0.0032259742760109753,True
CO2_average,Grain.As,Season.planted+,True,Straw.As-Straw.S-Temperature-,0.0005057115764639519,True
Potential.Evaporation,Grain.As,Season.planted+,True,Straw.As-Straw.S-Temperature-,0.09433182219884988,False
Potential.Evaporation,Grain.As,Humidity+Season.planted+,True,Straw.As-Straw.S-Temperature-,0.09433182219884988,False
Lattitude,Grain.As,Humidity+Season.planted+,True,Straw.As-Straw.S-Temperature-,0.30528138473685495,False
CO2_average,Grain.As,Straw.S+,True,Season.planted-Straw.As-Temperature-,0.0032259742760109753,True
CO2_average,Grain.As,Straw.S+,True,Season.planted-Straw.As-Temperature-,0.0032259742760109753,True
CO2_average,Grain.As,Straw.S+,True,Season.planted-Straw.As-Temperature-,0.0032259742760109753,True
CO2_average,Grain.As,Straw.S+,True,Season.planted-Straw.As-Temperature-,0.0032259742760109753,True
